side1,side2,side3,side12,side22,side32,validity
1568,210,1582,2458624,44100,2502724,1
6048,936,6120,36578304,876096,37454400,1
457,150,457,208849,22500,208849,0
3301,102,3302,10896601,10404,10903204,0
3654,928,3770,13351716,861184,14212900,1
9460,903,9503,89491600,815409,90307009,1
404,45,406,163216,2025,164836,0
4212,159,4215,17740944,25281,17766225,1
216002,11122,213876,46656864004,123698884,45742943376,0
56088,3034,56170,3145863744,9205156,3155068900,1
3520,56265,56375,12390400,3165750225,3178140625,1
1131,16380,16419,1279161,268304400,269583561,1
276736,5952,276800,76582813696,35426304,76618240000,1
39102,3791,38707,1528966404,14371681,1498231849,0
258301,9586,255013,66719406601,91891396,65031630169,0
6049,1007,6048,36590401,1014049,36578304,0
2666,75,2667,7107556,5625,7112889,0
0,2,2,0,4,4,1
227040,5220,227100,51547161600,27248400,51574410000,1
1366,143,1368,1865956,20449,1871424,0
1840,42300,42340,3385600,1789290000,1792675600,1
34782,2176,34850,1209787524,4734976,1214522500,1
17280,1824,17376,298598400,3326976,301925376,1
1920,15300,15420,3686400,234090000,237776400,1
86,87,88,7396,7569,7744,0
127514,7696,125886,16259820196,59228416,15847284996,0
3936,94423,94505,15492096,8915702929,8931195025,1
437,115,439,190969,13225,192721,0
14386,1799,13575,206956996,3236401,184280625,0
23581,2915,23436,556063561,8497225,549246096,0
216002,11122,213876,46656864004,123698884,45742943376,0
2,98,100,4,9604,10000,0
107,90,108,11449,8100,11664,0
792,118,794,627264,13924,630436,0
1600,15960,16040,2560000,254721600,257281600,1
14,0,14,196,0,196,1
2125,78,2126,4515625,6084,4519876,0
167400,5490,167490,28022760000,30140100,28052900100,1
166412,9415,164733,27692953744,88642225,27136961289,0
67,53,69,4489,2809,4761,0
9,7,11,81,49,121,0
3724,35280,35476,13868176,1244678400,1258546576,1
4320,792,4392,18662400,627264,19289664,1
712,534,890,506944,285156,792100,1
5175,432,5193,26780625,186624,26967249,1
401580,8827,401677,161266496400,77915929,161344412329,1
2465,427,2388,6076225,182329,5702544,0
16897,1713,16718,285508609,2934369,279491524,0
3584,480,3616,12845056,230400,13075456,1
76,53,78,5776,2809,6084,0
2482,620,2478,6160324,384400,6140484,0
1716,28288,28340,2944656,800210944,803155600,1
75768,3526,75850,5740789824,12432676,5753222500,1
23256,1258,23290,540841536,1582564,542424100,1
164673,7150,162833,27117196929,51122500,26514585889,0
585,11400,11415,342225,129960000,130302225,1
231,89,233,53361,7921,54289,0
1008,294,1050,1016064,86436,1102500,1
38,36,40,1444,1296,1600,0
1365,14300,14365,1863225,204490000,206353225,1
46802,4324,46374,2190427204,18696976,2150547876,0
47424,1232,47440,2249035776,1517824,2250553600,1
25,11,27,625,121,729,0
174841,7533,173134,30569375281,56746089,29975381956,0
5586,560,5614,31203396,313600,31516996,1
771,50,772,594441,2500,595984,0
62361,3120,62439,3888894321,9734400,3898628721,1
3040,28800,28960,9241600,829440000,838681600,1
66789,4991,64636,4460770521,24910081,4177812496,0
-72,0,72,5184,0,5184,1
6552,137514,137670,42928704,18910100196,18953028900,1
25,26,26,625,676,676,0
13105,1309,12802,171741025,1713481,163891204,0
6952,152865,153023,48330304,23367708225,23416038529,1
57122,4386,55588,3262922884,19236996,3090025744,0
532,83,533,283024,6889,284089,0
954,73,955,910116,5329,912025,0
1872,11154,11310,3504384,124411716,127916100,1
828,101,830,685584,10201,688900,0
64,510,514,4096,260100,264196,1
25272,954,25290,638673984,910116,639584100,1
480,108,492,230400,11664,242064,1
576,168,600,331776,28224,360000,1
112035,6596,112229,12551841225,43507216,12595348441,1
392,1344,1400,153664,1806336,1960000,1
0,26,26,0,676,676,1
4020,60233,60367,16160400,3628014289,3644174689,1
650,123,652,422500,15129,425104,0
8649,402132,402225,74805201,161710145424,161784950625,1
1129,107,1131,1274641,11449,1279161,0
3280,81,3281,10758400,6561,10764961,1
26880,1312,26912,722534400,1721344,724255744,1
-81,0,81,6561,0,6561,1
2668,77,2669,7118224,5929,7123561,0
70681,4117,68918,4995803761,16949689,4749690724,0
34442,3160,33738,1186251364,9985600,1138252644,0
36,105,111,1296,11025,12321,1
16417,1535,15792,269517889,2356225,249387264,0
470401,14305,465694,221277100801,204633025,216870901636,0
680,106,682,462400,11236,465124,0
4416,101520,101616,19501056,10306310400,10325811456,1
58520,3003,58597,3424590400,9018009,3433608409,1
1266,112,1268,1602756,12544,1607824,0
142680,4838,142762,20357582400,23406244,20380988644,1
445901,13810,441189,198827701801,190716100,194647733721,0
114445,5594,112317,13097658025,31292836,12615108489,0
3360,164,3364,11289600,26896,11316496,1
26181,3070,23879,685444761,9424900,570206641,0
540,2400,2460,291600,5760000,6051600,1
4043,172,4044,16345849,29584,16353936,0
167485,7980,167675,28051225225,63680400,28114905625,1
3080,30723,30877,9486400,943902729,953389129,1
1250,15600,15650,1562500,243360000,244922500,1
19350,880,19370,374422500,774400,375196900,1
2881,635,2436,8300161,403225,5934096,0
6272,153600,153728,39337984,23592960000,23632297984,1
644,70,646,414736,4900,417316,0
61380,2013,61413,3767504400,4052169,3771556569,1
51889,5347,47668,2692468321,28590409,2272238224,0
148709,8959,147372,22114366681,80263681,21718506384,0
4233,175644,175695,17918289,30850814736,30868733025,1
4225,176,4226,17850625,30976,17859076,0
47621,3875,46316,2267759641,15015625,2145171856,0
14618,2404,14646,213685924,5779216,214505316,0
4343,112,4344,18861649,12544,18870336,0
71501,4054,70305,5112393001,16434916,4942793025,0
0,94,94,0,8836,8836,1
494,4680,4706,244036,21902400,22146436,1
6336,748,6380,40144896,559504,40704400,1
2368,18870,19018,5607424,356076900,361684324,1
56917,3832,56431,3239544889,14684224,3184457761,0
147,504,525,21609,254016,275625,1
5250,91800,91950,27562500,8427240000,8454802500,1
2747,156,2748,7546009,24336,7551504,0
34224,1457,34255,1171282176,2122849,1173405025,1
4740,133,4741,22467600,17689,22477081,0
19,17,21,361,289,441,0
1935,173,1937,3744225,29929,3751969,0
70122,4680,70278,4917094884,21902400,4938997284,1
36121,4377,32602,1304726641,19158129,1062890404,0
177410,10018,175836,31474308100,100360324,30918298896,0
18920,1806,19006,357966400,3261636,361228036,1
59,42,60,3481,1764,3600,0
56241,4237,53522,3163050081,17952169,2864604484,0
206,79,207,42436,6241,42849,0
40560,3250,40690,1645113600,10562500,1655676100,1
36121,2562,35363,1304726641,6563844,1250541769,0
5893,209160,209243,34727449,43747905600,43782633049,1
80040,2714,80086,6406401600,7365796,6413767396,1
2970,48960,49050,8820900,2397081600,2405902500,1
3666,139,3667,13439556,19321,13446889,0
2961,69552,69615,8767521,4837480704,4846248225,1
2744,19110,19306,7529536,365192100,372721636,1
231193,8893,228382,53450203249,79085449,52158337924,0
25840,2880,26000,667705600,8294400,676000000,1
4015,146520,146575,16120225,21468110400,21484230625,1
7220,137085,137275,52128400,18792297225,18844425625,1
362209,12076,357677,131195359681,145829776,127932836329,0
0,0,0,0,0,0,1
92,0,92,8464,0,8464,1
44065,3184,43633,1941724225,10137856,1903838689,0
368,276,460,135424,76176,211600,1
2112,34816,34880,4460544,1212153856,1216614400,1
2711,120,2712,7349521,14400,7354944,0
1969,591,2032,3876961,349281,4129024,0
16740,549,16749,280227600,301401,280529001,1
2908,171,2909,8456464,29241,8462281,0
4692,119600,119692,22014864,14304160000,14326174864,1
133,1260,1267,17689,1587600,1605289,1
115130,7279,113751,13254916900,52983841,12939290001,0
1357,40020,40043,1841449,1601600400,1603441849,1
85801,4615,84616,7361811601,21298225,7159867456,0
1550,108,1552,2402500,11664,2408704,0
1649,79968,79985,2719201,6394881024,6397600225,1
98175,5780,98345,9638330625,33408400,9671739025,1
840,14688,14712,705600,215737344,216442944,1
201,82,203,40401,6724,41209,0
2460,149,2461,6051600,22201,6056521,0
175645,7594,172333,30851166025,57668836,29698662889,0
29017,2612,28821,841986289,6822544,830650041,0
169741,7780,165731,28812007081,60528400,27466764361,0
1139,117,1141,1297321,13689,1301881,0
5246,112728,112850,27520516,12707601984,12735122500,1
774,127,775,599076,16129,600625,0
1344,32242,32270,1806336,1039546564,1041352900,1
111973,6162,108475,12537952729,37970244,11766825625,0
57001,3646,56353,3249114001,13293316,3175660609,0
3148,107,3149,9909904,11449,9916201,0
1650,131,1652,2722500,17161,2729104,0
1647,50220,50247,2712609,2522048400,2524761009,1
178501,7486,176263,31862607001,56040196,31068645169,0
7656,332992,333080,58614336,110883672064,110942286400,1
1764,18480,18564,3111696,341510400,344622096,1
67,20,69,4489,400,4761,0
17942,2743,17955,321915364,7524049,322382025,0
1862,17640,17738,3467044,311169600,314636644,1
105152,3339,105205,11056943104,11148921,11068092025,1
22,21,23,484,441,529,0
733,59,735,537289,3481,540225,0
83,76,85,6889,5776,7225,0
5289,252,5295,27973521,63504,28037025,1
2662,935,2787,7086244,874225,7767369,0
1176,182,1190,1382976,33124,1416100,1
137514,6880,137686,18910100196,47334400,18957434596,1
4300,92400,92500,18490000,8537760000,8556250000,1
356040,7826,356126,126764481600,61246276,126825727876,1
85260,2891,85309,7269267600,8357881,7277625481,1
6351,276232,276305,40335201,76304117824,76344453025,1
55,48,57,3025,2304,3249,0
175644,4233,175695,30850814736,17918289,30868733025,1
57720,3040,57800,3331598400,9241600,3340840000,1
151033,6868,149557,22810967089,47169424,22367296249,0
870,143,872,756900,20449,760384,0
337,253,418,113569,64009,174724,0
137641,6313,135914,18945044881,39853969,18472615396,0
1539,172,1541,2368521,29584,2374681,0
183,41,185,33489,1681,34225,0
1,36,37,1,1296,1369,0
58752,3360,58848,3451797504,11289600,3463087104,1
158,207,259,24964,42849,67081,0
240,1792,1808,57600,3211264,3268864,1
98784,2037,98805,9758278656,4149369,9762428025,1
393,106,395,154449,11236,156025,0
106801,5512,105737,11406453601,30382144,11180313169,0
-90,0,90,8100,0,8100,1
13299,2232,13485,176863401,4981824,181845225,1
2677,86,2678,7166329,7396,7171684,0
13301,2351,13364,176916601,5527201,178596496,0
4561,955,3844,20802721,912025,14776336,0
501,52,502,251001,2704,252004,0
21252,1936,21340,451647504,3748096,455395600,1
6242,1466,6332,38962564,2149156,40094224,0
68450,5028,66394,4685402500,25280784,4408163236,0
3660,133,3661,13395600,17689,13402921,0
2493,191,2495,6215049,36481,6225025,0
81600,3332,81668,6658560000,11102224,6669662224,1
1259,105,1261,1585081,11025,1590121,0
114,100,116,12996,10000,13456,0
303,49,305,91809,2401,93025,0
7055,292740,292825,49773025,85696707600,85746480625,1
149185,6679,146648,22256164225,44609041,21505635904,0
43500,1475,43525,1892250000,2175625,1894425625,1
0,-81,81,0,6561,6561,1
345,828,897,119025,685584,804609,1
1590,42120,42150,2528100,1774094400,1776622500,1
369984,7790,370066,136888160256,60684100,136948844356,1
51681,3373,51026,2670925761,11377129,2603652676,0
1791,110,1792,3207681,12100,3211264,0
376,122,378,141376,14884,142884,0
52081,3507,50308,2712430561,12299049,2530894864,0
3128,53130,53222,9784384,2822796900,2832581284,1
385,2100,2135,148225,4410000,4558225,1
67,60,68,4489,3600,4624,0
5580,1023,5673,31136400,1046529,32182929,1
3658,56640,56758,13380964,3208089600,3221470564,1
623,46,624,388129,2116,389376,0
74521,5687,70488,5553379441,32341969,4968558144,0
6,8,10,36,64,100,1
53856,3080,53944,2900468736,9486400,2909955136,1
980,17136,17164,960400,293642496,294602896,1
1937,90,1939,3751969,8100,3759721,0
389,292,483,151321,85264,233289,0
208,1344,1360,43264,1806336,1849600,1
30362,3296,30098,921851044,10863616,905889604,0
12987,684,13005,168662169,467856,169130025,1
2662,935,2787,7086244,874225,7767369,0
1846,167,1848,3407716,27889,3415104,0
10641,1267,9932,113230881,1605289,98644624,0
192,1144,1160,36864,1308736,1345600,1
62161,3833,61434,3863989921,14691889,3774136356,0
257,339,424,66049,114921,179776,0
2305,2303,96,5313025,5303809,9216,1
65522,4796,63998,4293132484,23001616,4095744004,0
1276,18480,18524,1628176,341510400,343138576,1
431,109,433,185761,11881,187489,0
37920,2449,37999,1437926400,5997601,1443924001,1
1547,105,1549,2393209,11025,2399401,0
604,93,605,364816,8649,366025,0
2080,159,2081,4326400,25281,4330561,0
295153,10483,291532,87115293409,109893289,84990907024,0
1,40,41,1,1600,1681,0
36252,1961,36305,1314207504,3845521,1318053025,1
4919,118,4920,24196561,13924,24206400,0
3276,68757,68835,10732176,4727525049,4738257225,1
126938,7727,125399,16113255844,59706529,15724909201,0
230,88,232,52900,7744,53824,0
40480,1800,40520,1638630400,3240000,1641870400,1
595,204,629,354025,41616,395641,1
76701,4258,75509,5883043401,18130564,5701609081,0
2730,53200,53270,7452900,2830240000,2837692900,1
1720,36960,37000,2958400,1366041600,1369000000,1
15181,1642,14227,230462761,2696164,202407529,0
136,102,170,18496,10404,28900,1
36122,3276,35422,1304798884,10732176,1254718084,0
1129,107,1131,1274641,11449,1279161,0
33125,2794,32877,1097265625,7806436,1080897129,0
3334,135,3335,11115556,18225,11122225,0
16677,1919,16204,278122329,3682561,262569616,0
50797,3482,50301,2580335209,12124324,2530190601,0
21842,2324,21334,477072964,5400976,455139556,0
274560,6952,274648,75383193600,48330304,75431523904,1
1536,169,1538,2359296,28561,2365444,0
85280,2106,85306,7272678400,4435236,7277113636,1
173376,4080,173424,30059237376,16646400,30075883776,1
3843,117180,117243,14768649,13731152400,13745921049,1
29400,2030,29470,864360000,4120900,868480900,1
3465,133380,133425,12006225,17790224400,17802230625,1
1571,114,1572,2468041,12996,2471184,0
152065,6727,150088,23123764225,45252529,22526407744,0
82320,4018,82418,6776582400,16144324,6792726724,1
3828,55440,55572,14653584,3073593600,3088247184,1
1881,31008,31065,3538161,961496064,965034225,1
3362,662,3256,11303044,438244,10601536,0
64680,4466,64834,4183502400,19945156,4203447556,1
201960,6030,202050,40787841600,36360900,40824202500,1
582,776,970,338724,602176,940900,1
95760,4914,95886,9169977600,24147396,9194124996,1
4012,141,4013,16096144,19881,16104169,0
2697,117304,117335,7273809,13760228416,13767502225,1
79,80,81,6241,6400,6561,0
1514,376,1386,2292196,141376,1920996,0
73,26,75,5329,676,5625,0
6808,125856,126040,46348864,15839732736,15886081600,1
1491,15620,15691,2223081,243984400,246207481,1
980,2352,2548,960400,5531904,6492304,1
1479,21420,21471,2187441,458816400,461003841,1
1896,97,1897,3594816,9409,3598609,0
693,116,694,480249,13456,481636,0
26401,2229,25270,697012801,4968441,638572900,0
5460,106400,106540,29811600,11320960000,11350771600,1
129519,6480,129681,16775171361,41990400,16817161761,1
193,95,195,37249,9025,38025,0
81781,4454,80145,6688131961,19838116,6423221025,0
104400,4263,104487,10899360000,18173169,10917533169,1
120961,5857,118558,14631563521,34304449,14055999364,0
7614,308320,308414,57972996,95061222400,95119195396,1
128340,2821,128371,16471155600,7958041,16479113641,1
43682,3914,43124,1908117124,15319396,1859679376,0
6534,1320,6666,42693156,1742400,44435556,1
18481,1741,17618,341547361,3031081,310393924,0
1287,133,1289,1656369,17689,1661521,0
3239,127920,127961,10491121,16363526400,16374017521,1
2243,129,2245,5031049,16641,5040025,0
3707,180,3708,13741849,32400,13749264,0
2,158,160,4,24964,25600,0
1442,148,1444,2079364,21904,2085136,0
1065,106,1067,1134225,11236,1138489,0
16994,2260,16854,288796036,5107600,284057316,0
220501,9256,215743,48620691001,85673536,46545042049,0
77519,6271,76986,6009195361,39325441,5926844196,0
2378,559,2343,5654884,312481,5489649,0
348096,7178,348170,121170825216,51523684,121222348900,1
490,12000,12010,240100,144000000,144240100,1
78,504,510,6084,254016,260100,1
83602,5732,82266,6989294404,32855824,6767694756,0
1263,112,1264,1595169,12544,1597696,0
792,17415,17433,627264,303282225,303909489,1
23520,1148,23548,553190400,1317904,554508304,1
709,62,710,502681,3844,504100,0
2,182,184,4,33124,33856,0
3080,294,3094,9486400,86436,9572836,1
3672,93600,93672,13483584,8760960000,8774443584,1
26402,3380,24118,697065604,11424400,581677924,0
4978,177,4979,24780484,31329,24790441,0
84,83,85,7056,6889,7225,0
3298,159936,159970,10876804,25579524096,25590400900,1
124957,6068,123693,15614251849,36820624,15299958249,0
1589,132,1590,2524921,17424,2528100,0
410,123,411,168100,15129,168921,0
3479,118,3480,12103441,13924,12110400,0
3863,859,3858,14922769,737881,14884164,0
146160,5130,146250,21362745600,26316900,21389062500,1
350,127,352,122500,16129,123904,0
7225,3697,3698,52200625,13667809,13675204,0
11016,630,11034,121352256,396900,121749156,1
14820,385,14825,219632400,148225,219780625,1
1024,16368,16400,1048576,267911424,268960000,1
105984,4512,106080,11232608256,20358144,11252966400,1
124956,4717,125045,15614001936,22250089,15636252025,1
4935,134,4936,24354225,17956,24364096,0
2346,26928,27030,5503716,725117184,730620900,1
664,90,666,440896,8100,443556,0
960,62,962,921600,3844,925444,1
10976,1470,11074,120472576,2160900,122633476,1
2289,112,2290,5239521,12544,5244100,0
66,1088,1090,4356,1183744,1188100,1
14096,1735,13401,198697216,3010225,179586801,0
38000,1950,38050,1444000000,3802500,1447802500,1
7280,1638,7462,52998400,2683044,55681444,1
1440,420,1500,2073600,176400,2250000,1
912,8640,8688,831744,74649600,75481344,1
82000,2025,82025,6724000000,4100625,6728100625,1
127,96,128,16129,9216,16384,0
3680,153,3681,13542400,23409,13549761,0
35728,1254,35750,1276489984,1572516,1278062500,1
84,50,86,7056,2500,7396,0
91261,4796,89973,8328570121,23001616,8095140729,0
277381,10146,273397,76940219161,102941316,74745919609,0
10440,354,10446,108993600,125316,109118916,1
330,2464,2486,108900,6071296,6180196,1
402,80,404,161604,6400,163216,0
1475,108,1477,2175625,11664,2181529,0
29761,2775,27976,885717121,7700625,782656576,0
249,50,250,62001,2500,62500,0
119,72,121,14161,5184,14641,0
297,60,303,88209,3600,91809,1
30466,2870,29496,928177156,8236900,870014016,0
612,2720,2788,374544,7398400,7772944,1
4335,110500,110585,18792225,12210250000,12229042225,1
6612,287584,287660,43718544,82704557056,82748275600,1
78,77,79,6084,5929,6241,0
910,5880,5950,828100,34574400,35402500,1
21924,1568,21980,480661776,2458624,483120400,1
109,60,110,11881,3600,12100,0
1581,13392,13485,2499561,179345664,181845225,1
252,1120,1148,63504,1254400,1317904,1
6080,115440,115600,36966400,13326393600,13363360000,1
12586,2231,12639,158407396,4977361,159744321,0
26881,2111,26112,722588161,4456321,681836544,0
3984,1162,4150,15872256,1350244,17222500,1
1754,156,1756,3076516,24336,3083536,0
1250,96,1252,1562500,9216,1567504,0
2400,29952,30048,5760000,897122304,902882304,1
4225,176,4226,17850625,30976,17859076,0
32760,923,32773,1073217600,851929,1074069529,1
5917,286944,287005,35010889,82336859136,82371870025,1
1548,91,1549,2396304,8281,2399401,0
40021,3038,38361,1601680441,9229444,1471566321,0
354,67,356,125316,4489,126736,0
228,2160,2172,51984,4665600,4717584,1
30377,2963,29840,922762129,8779369,890425600,0
6624,228480,228576,43877376,52203110400,52246987776,1
1890,91,1891,3572100,8281,3575881,0
1360,57792,57808,1849600,3339915264,3341764864,1
148997,8623,147300,22200106009,74356129,21697290000,0
5447,1179,5474,29669809,1390041,29964676,0
366,488,610,133956,238144,372100,1
25080,1287,25113,629006400,1656369,630662769,1
292,98,294,85264,9604,86436,0
1444,13680,13756,2085136,187142400,189227536,1
7740,352,7748,59907600,123904,60031504,1
160,63,161,25600,3969,25921,0
144566,6888,144730,20899328356,47444544,20946772900,1
273,2860,2873,74529,8179600,8254129,1
73,55,88,5329,3025,7744,0
4560,54625,54815,20793600,2983890625,3004684225,1
4950,245000,245050,24502500,60025000000,60049502500,1
2192,169,2194,4804864,28561,4813636,0
233640,5251,233699,54587649600,27573001,54615222601,1
476,117,478,226576,13689,228484,0
392,735,833,153664,540225,693889,1
142296,6622,142450,20248151616,43850884,20292002500,1
1289,339,1232,1661521,114921,1517824,0
1646,127,1648,2709316,16129,2715904,0
4970,176400,176470,24700900,31116960000,31141660900,1
202300,5865,202385,40925290000,34398225,40959688225,1
218,91,219,47524,8281,47961,0
1160,261,1189,1345600,68121,1413721,1
69564,2077,69595,4839150096,4313929,4843464025,1
29465,3123,29144,868186225,9753129,849372736,0
4926,125,4927,24265476,15625,24275329,0
116928,4104,117000,13672157184,16842816,13689000000,1
45602,4164,43334,2079542404,17338896,1877835556,0
594,29400,29406,352836,864360000,864712836,1
6970,142800,142970,48580900,20391840000,20440420900,1
617,40,618,380689,1600,381924,0
111105,5449,109238,12344321025,29691601,11932940644,0
107136,3402,107190,11478122496,11573604,11489696100,1
918,7776,7830,842724,60466176,61308900,1
2284,170,2286,5216656,28900,5225796,0
23276,1035,23299,541772176,1071225,542843401,1
602,208,510,362404,43264,260100,0
22220,2463,21869,493728400,6066369,478253161,0
1178,121,1179,1387684,14641,1390041,0
3150,55080,55170,9922500,3033806400,3043728900,1
124,27,125,15376,729,15625,0
343,120,345,117649,14400,119025,0
1144,7392,7480,1308736,54641664,55950400,1
198812,10671,196973,39526211344,113870241,38798362729,0
33672,3095,32497,1133803584,9579025,1056055009,0
625,48,626,390625,2304,391876,0
649,19140,19151,421201,366339600,366760801,1
61,62,63,3721,3844,3969,0
1674,25920,25974,2802276,671846400,674648676,1
28602,3128,28330,818074404,9784384,802588900,0
4940,139,4941,24403600,19321,24413481,0
105601,5463,104536,11151571201,29844369,10927775296,0
45554,4224,45122,2075166916,17842176,2035994884,0
19551,1960,19649,382241601,3841600,386083201,1
172727,9407,170666,29834616529,88491649,29126883556,0
60235,4859,59526,3628255225,23609881,3543344676,0
1008,156,1020,1016064,24336,1040400,1
1859,312,1885,3455881,97344,3553225,1
301,102,302,90601,10404,91204,0
229173,9160,224993,52520263929,83905600,50621850049,0
376740,8281,376831,141933027600,68574961,142001602561,1
563,114,564,316969,12996,318096,0
4408,177,4409,19430464,31329,19439281,0
1391,142,1392,1934881,20164,1937664,0
226100,6555,226195,51121210000,42968025,51164178025,1
-65,-1,66,4225,1,4356,0
126,28,128,15876,784,16384,0
12727,2136,12905,161976529,4562496,166539025,1
174,2520,2526,30276,6350400,6380676,1
38475,2964,38589,1480325625,8785296,1489110921,1
1262,455,1307,1592644,207025,1708249,0
440,9675,9685,193600,93605625,93799225,1
9241,1046,9033,85396081,1094116,81595089,0
2255,141,2257,5085025,19881,5094049,0
85200,3479,85271,7259040000,12103441,7271143441,1
67320,1513,67337,4531982400,2289169,4534271569,1
6499,315168,315235,42237001,99330868224,99373105225,1
117600,4802,117698,13829760000,23059204,13852819204,1
570,4256,4294,324900,18113536,18438436,1
29025,1320,29055,842450625,1742400,844193025,1
120,160,200,14400,25600,40000,1
23400,1875,23475,547560000,3515625,551075625,1
4402,156240,156302,19377604,24410937600,24430315204,1
47042,3936,46238,2212949764,15492096,2137952644,0
18146,2396,18014,329277316,5740816,324504196,0
213108,5015,213167,45415019664,25150225,45440169889,1
9504,1122,9570,90326016,1258884,91584900,1
423361,13337,418842,179234536321,177875569,175428620964,0
4873,825,4858,23746129,680625,23600164,0
2482,90576,90610,6160324,8204011776,8210172100,1
2017,367,1936,4068289,134689,3748096,0
35640,801,35649,1270209600,641601,1270851201,1
2322,145,2323,5391684,21025,5396329,0
2392,31050,31142,5721664,964102500,969824164,1
146,5328,5330,21316,28387584,28408900,1
19202,2138,18340,368716804,4571044,336355600,0
46,39,47,2116,1521,2209,0
27533,3119,27308,758066089,9728161,745726864,0
325,71,327,105625,5041,106929,0
390,2520,2550,152100,6350400,6502500,1
105985,5569,105022,11232820225,31013761,11029620484,0
9505,1249,9442,90345025,1560001,89151364,0
94082,6974,93376,8851422724,48636676,8719077376,0
31322,2967,30671,981067684,8803089,940710241,0
4570,153,4571,20884900,23409,20894041,0
4164,115,4165,17338896,13225,17347225,0
0,0,0,0,0,0,1
5655,245960,246025,31979025,60496321600,60528300625,1
31124,3479,30917,968703376,12103441,955860889,0
285,380,475,81225,144400,225625,1
370832,8526,370930,137516372224,72692676,137589064900,1
1369,75,1371,1874161,5625,1879641,0
4553,136,4554,20729809,18496,20738916,0
3264,52173,52275,10653696,2722021929,2732675625,1
276,207,345,76176,42849,119025,1
7601,1111,6888,57775201,1234321,47444544,0
2430,32760,32850,5904900,1073217600,1079122500,1
3798,101,3799,14424804,10201,14432401,0
1033,66,1034,1067089,4356,1069156,0
9504,1920,9696,90326016,3686400,94012416,1
952,71,953,906304,5041,908209,0
1961,51948,51985,3845521,2698594704,2702440225,1
74088,2695,74137,5489031744,7263025,5496294769,1
8051,334068,334165,64818601,111601428624,111666247225,1
103320,2490,103350,10675022400,6200100,10681222500,1
293,52,294,85849,2704,86436,0
121,87,123,14641,7569,15129,0
505,149,438,255025,22201,191844,0
0,0,0,0,0,0,1
3692,47925,48067,13630864,2296805625,2310436489,1
3348,30039,30225,11209104,902341521,913550625,1
41850,3224,41974,1751422500,10394176,1761816676,1
5590,181632,181718,31248100,32990183424,33021431524,1
